"","sucrose_umol_m2.12.comps"
"Wave_1006",0.663676341300076
"Wave_1007",0.558639936511569
"Wave_1008",0.448518093418461
"Wave_1009",0.328522401277449
"Wave_1010",0.189420402366994
"Wave_1011",0.23382270493369
"Wave_1012",0.278224799190215
"Wave_1013",0.342046495793277
"Wave_1014",0.421368042191981
"Wave_1015",0.468888005354112
"Wave_1016",0.516408098665452
"Wave_1017",0.520467926144519
"Wave_1018",0.570417156286677
"Wave_1019",0.69522945017911
"Wave_1020",0.820041686059939
"Wave_1021",0.951645527553176
"Wave_1022",0.989825204921641
"Wave_1023",0.986718837748206
"Wave_1024",0.983612150296579
"Wave_1025",0.957423167474482
"Wave_1026",0.990702214400598
"Wave_1027",1.0308736005643
"Wave_1028",1.06401812173113
"Wave_1029",1.0356500182965
"Wave_1030",1.02285150499364
"Wave_1031",1.01005309956732
"Wave_1032",0.991137504225218
"Wave_1033",0.968760989944394
"Wave_1034",0.995403183281315
"Wave_1035",1.02204533129095
"Wave_1036",1.07851793764093
"Wave_1037",1.09021183078998
"Wave_1038",1.01238120993746
"Wave_1039",0.934550750584935
"Wave_1040",0.814714951871232
"Wave_1041",0.771775924504931
"Wave_1042",0.773794133087567
"Wave_1043",0.775812313653233
"Wave_1044",0.798418433312477
"Wave_1045",0.793162079309588
"Wave_1046",0.784238111775913
"Wave_1047",0.775314263172025
"Wave_1048",0.770214925493432
"Wave_1049",0.788181658157887
"Wave_1050",0.806148371620646
"Wave_1051",0.823416976851717
"Wave_1052",0.8306292222175
"Wave_1053",0.829034967401544
"Wave_1054",0.827440550450424
"Wave_1055",0.825122739489893
"Wave_1056",0.828664193069744
"Wave_1057",0.839753195285848
"Wave_1058",0.850842105030593
"Wave_1059",0.834484000061633
"Wave_1060",0.794543901332658
"Wave_1061",0.756260330856231
"Wave_1062",0.717976721805258
"Wave_1063",0.711392595790956
"Wave_1064",0.736730755264365
"Wave_1065",0.76410635440654
"Wave_1066",0.791481936961437
"Wave_1067",0.788109912061411
"Wave_1068",0.759219360863952
"Wave_1069",0.730328829093046
"Wave_1070",0.701438411240415
"Wave_1071",0.69199891667811
"Wave_1072",0.691211852204233
"Wave_1073",0.690424894017533
"Wave_1074",0.680068803940733
"Wave_1075",0.669667021472909
"Wave_1076",0.6974956839841
"Wave_1077",0.725324383405472
"Wave_1078",0.782632869053172
"Wave_1079",0.800317290393308
"Wave_1080",0.782068836804026
"Wave_1081",0.763820322109451
"Wave_1082",0.720358380683079
"Wave_1083",0.72072267117386
"Wave_1084",0.727824328565931
"Wave_1085",0.734925847757233
"Wave_1086",0.702037892063133
"Wave_1087",0.718359671876615
"Wave_1088",0.734681461735874
"Wave_1089",0.751003197866019
"Wave_1090",0.798782460760344
"Wave_1091",0.746989471258084
"Wave_1092",0.695196505493537
"Wave_1093",0.628147959461528
"Wave_1094",0.545572256805805
"Wave_1095",0.493326733174817
"Wave_1096",0.441081270295796
"Wave_1097",0.385269226766298
"Wave_1098",0.366478824451483
"Wave_1099",0.359024179893349
"Wave_1100",0.351569603495704
"Wave_1101",0.334306632912883
"Wave_1102",0.302145310003503
"Wave_1103",0.26998385712174
"Wave_1104",0.237822485191035
"Wave_1105",0.225147758803341
"Wave_1106",0.206136188238224
"Wave_1107",0.187124507803416
"Wave_1108",0.168112780963672
"Wave_1109",0.165572201889898
"Wave_1110",0.20137203233755
"Wave_1111",0.237171892602188
"Wave_1112",0.269818329579534
"Wave_1113",0.297065175623413
"Wave_1114",0.339632456595299
"Wave_1115",0.382199880004921
"Wave_1116",0.435343301805331
"Wave_1117",0.402087237381765
"Wave_1118",0.341061750516373
"Wave_1119",0.280036447142969
"Wave_1120",0.201302324650966
"Wave_1121",0.215757292213617
"Wave_1122",0.230212278403729
"Wave_1123",0.244667355048341
"Wave_1124",0.225246665082014
"Wave_1125",0.2108250679093
"Wave_1126",0.196403498645236
"Wave_1127",0.181981910423953
"Wave_1128",0.140388958934687
"Wave_1129",0.125053547707604
"Wave_1130",0.109718131882767
"Wave_1131",0.0819256354345709
"Wave_1132",0.047750713003488
"Wave_1133",0.0588891360614247
"Wave_1134",0.0700273850319934
"Wave_1135",0.0652559176720835
"Wave_1136",0.0620105731750459
"Wave_1137",0.0630597236867842
"Wave_1138",0.064108792779464
"Wave_1139",0.0248782736650731
"Wave_1140",0.0540202931681377
"Wave_1141",0.0831623748450987
"Wave_1142",0.112304420652084
"Wave_1143",0.151221607220516
"Wave_1144",0.118847343645564
"Wave_1145",0.0864731323641752
"Wave_1146",0.054099108411262
"Wave_1147",0.0434758971459815
"Wave_1148",0.0156367968324504
"Wave_1149",-0.0122022197335088
"Wave_1150",-0.0408758371452297
"Wave_1151",-0.0348873353211675
"Wave_1152",-0.0183554633469376
"Wave_1153",-0.0018235359177054
"Wave_1154",0.0962670463503854
"Wave_1155",-0.0376851476569917
"Wave_1156",-0.171637366331991
"Wave_1157",-0.305589595996124
"Wave_1158",-0.418226249446582
"Wave_1159",-0.461283940921451
"Wave_1160",-0.504341600349081
"Wave_1161",-0.547399278493094
"Wave_1162",-0.569908457137647
"Wave_1163",-0.604570933449579
"Wave_1164",-0.639233394202229
"Wave_1165",-0.673895985859165
"Wave_1166",-0.698182907718513
"Wave_1167",-0.725019441677786
"Wave_1168",-0.751855983044858
"Wave_1169",-0.779936863933122
"Wave_1170",-0.77424117947355
"Wave_1171",-0.764239366137356
"Wave_1172",-0.754237653274236
"Wave_1173",-0.746216720047923
"Wave_1174",-0.764125713228988
"Wave_1175",-0.782034663843926
"Wave_1176",-0.799943724622093
"Wave_1177",-0.806879828607259
"Wave_1178",-0.793401236262693
"Wave_1179",-0.779922534009368
"Wave_1180",-0.766443914553383
"Wave_1181",-0.743779454053553
"Wave_1182",-0.714617388730477
"Wave_1183",-0.685455293023394
"Wave_1184",-0.656293276902034
"Wave_1185",-0.67986304128784
"Wave_1186",-0.717563343936254
"Wave_1187",-0.755263612857898
"Wave_1188",-0.796708040199882
"Wave_1189",-0.759674430657784
"Wave_1190",-0.722640710924179
"Wave_1191",-0.685607056887019
"Wave_1192",-0.641254971190634
"Wave_1193",-0.702630970526284
"Wave_1194",-0.764006951974338
"Wave_1195",-0.825382888394253
"Wave_1196",-0.865040740088072
"Wave_1197",-0.85779321181017
"Wave_1198",-0.850545713295656
"Wave_1199",-0.843298144020122
"Wave_1200",-0.837866881833092
"Wave_1201",-0.837520835947531
"Wave_1202",-0.83717483638372
"Wave_1203",-0.833915693051683
"Wave_1204",-0.828898272203991
"Wave_1205",-0.826598797438834
"Wave_1206",-0.824299101682583
"Wave_1207",-0.818700044026311
"Wave_1208",-0.812770635929512
"Wave_1209",-0.806841425470672
"Wave_1210",-0.800912171311047
"Wave_1211",-0.791880285232863
"Wave_1212",-0.771501956926282
"Wave_1213",-0.751123758545179
"Wave_1214",-0.730745391528367
"Wave_1215",-0.723612112730245
"Wave_1216",-0.71453061091973
"Wave_1217",-0.705448981704763
"Wave_1218",-0.69636746527605
"Wave_1219",-0.7149118370201
"Wave_1220",-0.744308087754445
"Wave_1221",-0.773704240532503
"Wave_1222",-0.803761803765942
"Wave_1223",-0.81089253586098
"Wave_1224",-0.818023105288003
"Wave_1225",-0.825153704674957
"Wave_1226",-0.825707156267049
"Wave_1227",-0.801644745990265
"Wave_1228",-0.77758240854394
"Wave_1229",-0.753520074773357
"Wave_1230",-0.737994412186462
"Wave_1231",-0.724357844074129
"Wave_1232",-0.710721183345782
"Wave_1233",-0.697084541619329
"Wave_1234",-0.680050810051389
"Wave_1235",-0.66086101932519
"Wave_1236",-0.641671384051221
"Wave_1237",-0.621933743570209
"Wave_1238",-0.63238515763094
"Wave_1239",-0.642836526182946
"Wave_1240",-0.653287923845785
"Wave_1241",-0.660012036867927
"Wave_1242",-0.651971968858322
"Wave_1243",-0.643931948130811
"Wave_1244",-0.635891902740511
"Wave_1245",-0.644159666778164
"Wave_1246",-0.668278845615309
"Wave_1247",-0.692397837775748
"Wave_1248",-0.71651690419728
"Wave_1249",-0.708339283188294
"Wave_1250",-0.691140733170819
"Wave_1251",-0.673942332395487
"Wave_1252",-0.659399605067892
"Wave_1253",-0.651865203529502
"Wave_1254",-0.644330835945612
"Wave_1255",-0.636796442550236
"Wave_1256",-0.620494181396883
"Wave_1257",-0.583733128356453
"Wave_1258",-0.546972135620497
"Wave_1259",-0.51021124304734
"Wave_1260",-0.493874922401148
"Wave_1261",-0.499673997255263
"Wave_1262",-0.505472862199204
"Wave_1263",-0.5112718528392
"Wave_1264",-0.490397619072411
"Wave_1265",-0.462855032958173
"Wave_1266",-0.435312446927591
"Wave_1267",-0.411725297623041
"Wave_1268",-0.427088981333829
"Wave_1269",-0.442452613596554
"Wave_1270",-0.457816404021903
"Wave_1271",-0.462821971322703
"Wave_1272",-0.429132578326725
"Wave_1273",-0.395443167269887
"Wave_1274",-0.361753873067414
"Wave_1275",-0.360402021314135
"Wave_1276",-0.370029697682198
"Wave_1277",-0.379657321960736
"Wave_1278",-0.389284957119539
"Wave_1279",-0.386470184731438
"Wave_1280",-0.382538432503208
"Wave_1281",-0.37860674753759
"Wave_1282",-0.374675057982569
"Wave_1283",-0.390764105537425
"Wave_1284",-0.406852925470019
"Wave_1285",-0.422941943829718
"Wave_1286",-0.437404128605321
"Wave_1287",-0.424226002430643
"Wave_1288",-0.411047843412364
"Wave_1289",-0.39786963821818
"Wave_1290",-0.393496165339424
"Wave_1291",-0.397927168222949
"Wave_1292",-0.402358276620604
"Wave_1293",-0.406789247642151
"Wave_1294",-0.355443963315115
"Wave_1295",-0.290154518821437
"Wave_1296",-0.22486505360167
"Wave_1297",-0.159575629025202
"Wave_1298",-0.161688226346905
"Wave_1299",-0.163800757654251
"Wave_1300",-0.165913343012064
"Wave_1301",-0.169088306865011
"Wave_1302",-0.174742563941711
"Wave_1303",-0.180396879787988
"Wave_1304",-0.186050954526693
"Wave_1305",-0.210644222652754
"Wave_1306",-0.248272618123179
"Wave_1307",-0.285900782948049
"Wave_1308",-0.323529099788914
"Wave_1309",-0.303875148012648
"Wave_1310",-0.269900601682939
"Wave_1311",-0.235926251338368
"Wave_1312",-0.195523632511761
"Wave_1313",-0.205519929535603
"Wave_1314",-0.215516224452857
"Wave_1315",-0.225512575611972
"Wave_1316",-0.227411340928358
"Wave_1317",-0.210415553631689
"Wave_1318",-0.19341986482748
"Wave_1319",-0.17642418717186
"Wave_1320",-0.178961202319645
"Wave_1321",-0.194520122396646
"Wave_1322",-0.210078834796768
"Wave_1323",-0.225637845145875
"Wave_1324",-0.222340771345082
"Wave_1325",-0.214329850512805
"Wave_1326",-0.206318833703902
"Wave_1327",-0.200749139684584
"Wave_1328",-0.217149087914641
"Wave_1329",-0.233549125122585
"Wave_1330",-0.24994900808947
"Wave_1331",-0.248093647768948
"Wave_1332",-0.204485662552444
"Wave_1333",-0.160877710182523
"Wave_1334",-0.117269657117273
"Wave_1335",-0.0959496930812639
"Wave_1336",-0.0894885024368443
"Wave_1337",-0.0830272640039775
"Wave_1338",-0.0765660714347701
"Wave_1339",-0.0873158456470874
"Wave_1340",-0.0999778385993131
"Wave_1341",-0.112639742021442
"Wave_1342",-0.117799725896026
"Wave_1343",-0.0929514054498208
"Wave_1344",-0.0681030415408882
"Wave_1345",-0.0432546329452116
"Wave_1346",-0.0275577049306312
"Wave_1347",-0.0255877865430227
"Wave_1348",-0.0236180597813026
"Wave_1349",-0.0216482237761365
"Wave_1350",0.0173187539875337
"Wave_1351",0.0721415514445948
"Wave_1352",0.126964458472417
"Wave_1353",0.181787283503946
"Wave_1354",0.192618792380473
"Wave_1355",0.203450405828583
"Wave_1356",0.214281957850147
"Wave_1357",0.228241414546944
"Wave_1358",0.254712828312237
"Wave_1359",0.281184361201088
"Wave_1360",0.307655778763296
"Wave_1361",0.34300818050234
"Wave_1362",0.387241596497734
"Wave_1363",0.4314750122265
"Wave_1364",0.47570842931366
"Wave_1365",0.534028511333022
