"","LMA_g_m2.12.comps"
"Wave_1084",-8.273672215854
"Wave_1085",-8.5663099858604
"Wave_1086",-8.65678286596195
"Wave_1087",-8.69574457637419
"Wave_1088",-8.73470536952473
"Wave_1089",-8.77366639791014
"Wave_1090",-8.96008626044863
"Wave_1091",-8.69798673458273
"Wave_1092",-8.4358868219087
"Wave_1093",-8.10780464841722
"Wave_1094",-7.71897524293741
"Wave_1095",-7.46559922660885
"Wave_1096",-7.21222461149076
"Wave_1097",-6.91744683204087
"Wave_1098",-6.72700421640556
"Wave_1099",-6.58679524551327
"Wave_1100",-6.44658659538352
"Wave_1101",-6.27808248984778
"Wave_1102",-6.044359060275
"Wave_1103",-5.81063559949222
"Wave_1104",-5.57691160602759
"Wave_1105",-5.49706606546369
"Wave_1106",-5.58027312908849
"Wave_1107",-5.66348070511377
"Wave_1108",-5.74668729097773
"Wave_1109",-5.6106186205466
"Wave_1110",-5.52436677702895
"Wave_1111",-5.43811516329921
"Wave_1112",-5.31017939452107
"Wave_1113",-5.06589406635066
"Wave_1114",-4.99415051079738
"Wave_1115",-4.92240662180226
"Wave_1116",-4.94158446098601
"Wave_1117",-4.90837551292314
"Wave_1118",-4.8090314514399
"Wave_1119",-4.70968769686908
"Wave_1120",-4.31811040993336
"Wave_1121",-4.14831355352491
"Wave_1122",-3.97851623346876
"Wave_1123",-3.80871869928985
"Wave_1124",-3.3685170408126
"Wave_1125",-3.39583147388391
"Wave_1126",-3.42314550653026
"Wave_1127",-3.45045978736948
"Wave_1128",-3.03771964661449
"Wave_1129",-2.93719293293644
"Wave_1130",-2.83666490680477
"Wave_1131",-2.61608326163068
"Wave_1132",-2.07316627545858
"Wave_1133",-1.85517177658241
"Wave_1134",-1.63717881634957
"Wave_1135",-1.18440627574405
"Wave_1136",-0.677470598511499
"Wave_1137",-0.225384956744167
"Wave_1138",0.226700449695699
"Wave_1139",0.931187703133152
"Wave_1140",1.35869062972569
"Wave_1141",1.78619372832743
"Wave_1142",2.21369667496753
"Wave_1143",2.3344971945176
"Wave_1144",2.69167587174408
"Wave_1145",3.04885481354737
"Wave_1146",3.40603430278252
"Wave_1147",3.60886064016595
"Wave_1148",4.16007754458351
"Wave_1149",4.71129484798809
"Wave_1150",5.18338365541119
"Wave_1151",5.56801587398193
"Wave_1152",6.1088269829781
"Wave_1153",6.64963672337789
"Wave_1154",6.52942771653238
"Wave_1155",6.50545795924492
"Wave_1156",6.4814877095106
"Wave_1157",6.45751745121611
"Wave_1158",6.34124766187046
"Wave_1159",6.31639913376065
"Wave_1160",6.29155153575368
"Wave_1161",6.26670297180039
"Wave_1162",6.03343601395605
"Wave_1163",5.84778542545449
"Wave_1164",5.66213548998386
"Wave_1165",5.47648561785905
"Wave_1166",5.24548425028613
"Wave_1167",5.04007291559785
"Wave_1168",4.83466070528076
"Wave_1169",4.61062091809476
"Wave_1170",4.55195459671891
"Wave_1171",4.51994333664167
"Wave_1172",4.48793190040356
"Wave_1173",4.41823215281111
"Wave_1174",4.23325471412659
"Wave_1175",4.04827804782079
"Wave_1176",3.8633005063874
"Wave_1177",3.76873611808798
"Wave_1178",3.70180887502822
"Wave_1179",3.63488107481161
"Wave_1180",3.56795349869438
"Wave_1181",3.57287006427303
"Wave_1182",3.6272400470732
"Wave_1183",3.68160938912529
"Wave_1184",3.73597857504173
"Wave_1185",3.68067995566194
"Wave_1186",3.60483334517583
"Wave_1187",3.52898719394977
"Wave_1188",3.45101869043274
"Wave_1189",3.47876144220557
"Wave_1190",3.50650540798052
"Wave_1191",3.53424834409266
"Wave_1192",3.40997886505326
"Wave_1193",3.5530082419907
"Wave_1194",3.69603800437428
"Wave_1195",3.83906703290746
"Wave_1196",3.91402599925528
"Wave_1197",3.83193152844662
"Wave_1198",3.74983660658815
"Wave_1199",3.66774191411957
"Wave_1200",3.67474059545657
"Wave_1201",3.73353245770076
"Wave_1202",3.79232452849602
"Wave_1203",3.82115460620204
"Wave_1204",3.84675506225588
"Wave_1205",3.90195850320571
"Wave_1206",3.9571622629077
"Wave_1207",4.01583325148176
"Wave_1208",4.04807885150223
"Wave_1209",4.08032250968133
"Wave_1210",4.1125680548204
"Wave_1211",4.21812950378034
