"","protein_mg_m2.12.comps"
"Wave_987",3.01158683362865
"Wave_988",3.04512580234854
"Wave_989",3.07866494631547
"Wave_990",3.13201545113903
"Wave_991",3.08571362999394
"Wave_992",2.52193406647159
"Wave_993",1.95815453976199
"Wave_994",1.19149331254351
"Wave_995",0.786619813573742
"Wave_996",1.54151129749055
"Wave_997",2.29640318441952
"Wave_998",3.15769214149655
"Wave_999",3.43226668242871
"Wave_1000",3.07452852721995
"Wave_1001",2.71679030982615
"Wave_1002",2.74431641672945
"Wave_1003",2.78840281495773
"Wave_1004",2.8212404271818
"Wave_1005",2.86010137906539
"Wave_1006",2.95317245656918
"Wave_1007",3.24668400240621
"Wave_1008",3.56246662862358
"Wave_1009",3.77918881738025
"Wave_1010",3.59484312737221
"Wave_1011",3.36707400076628
"Wave_1012",3.13930477520059
"Wave_1013",2.84782169297012
"Wave_1014",2.46686471569457
"Wave_1015",2.10013506252859
"Wave_1016",1.73340541364315
"Wave_1017",1.32172029476177
"Wave_1018",0.974721798286903
"Wave_1019",0.72238081377345
"Wave_1020",0.470039210769144
"Wave_1021",0.23804954472709
"Wave_1022",0.01463948828184
"Wave_1023",-0.20883110441013
"Wave_1024",-0.432302091277082
"Wave_1025",-0.632498600554658
"Wave_1026",-0.802861213211665
"Wave_1027",-0.970195960110463
"Wave_1028",-1.14237080806206
"Wave_1029",-1.33834489611429
"Wave_1030",-1.35647823792563
"Wave_1031",-1.37461201483078
"Wave_1032",-1.40505319859142
"Wave_1033",-1.44541076635031
"Wave_1034",-1.39403347847242
"Wave_1035",-1.34265592282938
"Wave_1036",-1.23948461323913
"Wave_1037",-1.12988723801269
"Wave_1038",-1.09155372559898
"Wave_1039",-1.05322009469592
"Wave_1040",-1.1071992948765
"Wave_1041",-1.13049692410485
"Wave_1042",-1.11427002033036
"Wave_1043",-1.098043244871
"Wave_1044",-0.994248349877696
"Wave_1045",-0.863831187958979
"Wave_1046",-0.732888069559523
"Wave_1047",-0.601944923622547
"Wave_1048",-0.573302178353053
"Wave_1049",-0.60048979432314
"Wave_1050",-0.627677431410686
"Wave_1051",-0.652319716311248
"Wave_1052",-0.651390478720027
"Wave_1053",-0.644251620744032
"Wave_1054",-0.637112687579871
"Wave_1055",-0.637686938518558
"Wave_1056",-0.617945723204023
"Wave_1057",-0.559891381100878
"Wave_1058",-0.501837240815888
"Wave_1059",-0.467339306536165
"Wave_1060",-0.441562472786761
"Wave_1061",-0.409426826311418
"Wave_1062",-0.377291556599333
"Wave_1063",-0.283459868587061
"Wave_1064",-0.231515688211717
"Wave_1065",-0.187163712710787
"Wave_1066",-0.142811822020814
"Wave_1067",-0.163569766711819
"Wave_1068",-0.16353225941193
"Wave_1069",-0.163494484091628
