"","glucose_umol_m2.8.comps"
"Wave_1099",0.170534005785301
"Wave_1100",0.176708608880297
"Wave_1101",0.183233272999698
"Wave_1102",0.185895348900374
"Wave_1103",0.188557416704794
"Wave_1104",0.191219487929552
"Wave_1105",0.192148998777141
"Wave_1106",0.189853498065225
"Wave_1107",0.187557991419015
"Wave_1108",0.18526249656444
"Wave_1109",0.184130226703085
"Wave_1110",0.180973942082646
"Wave_1111",0.177817647971725
"Wave_1112",0.175925296158023
"Wave_1113",0.181429513543549
"Wave_1114",0.184281101699687
"Wave_1115",0.187132719018704
"Wave_1116",0.187925537186372
"Wave_1117",0.181892514748369
"Wave_1118",0.175353957645528
"Wave_1119",0.168815420394381
"Wave_1120",0.170870375878007
"Wave_1121",0.174127894029165
"Wave_1122",0.177385425933711
"Wave_1123",0.180642937550192
"Wave_1124",0.196316608343939
"Wave_1125",0.206185349529784
"Wave_1126",0.216054102748894
"Wave_1127",0.225922850473742
"Wave_1128",0.243059143686544
"Wave_1129",0.248721208472196
"Wave_1130",0.254383312158599
"Wave_1131",0.2630620044317
"Wave_1132",0.281154583699757
"Wave_1133",0.291646224884334
"Wave_1134",0.302137842072272
"Wave_1135",0.317884132480125
"Wave_1136",0.33117190570583
"Wave_1137",0.342824190929874
"Wave_1138",0.354476475478538
"Wave_1139",0.368182447208754
"Wave_1140",0.364257265225998
"Wave_1141",0.360332113718878
"Wave_1142",0.356406928048713
"Wave_1143",0.344628011244649
"Wave_1144",0.334174696284166
"Wave_1145",0.323721393320188
"Wave_1146",0.313268089834504
"Wave_1147",0.291110046343592
"Wave_1148",0.275172392358947
"Wave_1149",0.259234727469856
"Wave_1150",0.241229502779749
"Wave_1151",0.224574386156878
"Wave_1152",0.212908869099291
"Wave_1153",0.201243322935061
"Wave_1154",0.176962853966177
"Wave_1155",0.163344082298159
"Wave_1156",0.149725305834022
"Wave_1157",0.136106536801189
"Wave_1158",0.120129771990559
"Wave_1159",0.112735237679578
"Wave_1160",0.105340727031459
"Wave_1161",0.0979461775365167
"Wave_1162",0.0844103287460615
"Wave_1163",0.0711397947498102
"Wave_1164",0.0578692671469534
"Wave_1165",0.0445987294703223
"Wave_1166",0.0351186449651614
"Wave_1167",0.02856461293515
"Wave_1168",0.0220105526895103
"Wave_1169",0.0147554007063912
"Wave_1170",0.00917797221645394
"Wave_1171",0.00409856678123625
"Wave_1172",-0.000980866377272432
"Wave_1173",-0.0026473860205697
"Wave_1174",0.00106084195021894
"Wave_1175",0.00476906888816368
"Wave_1176",0.00847729833810895
"Wave_1177",0.00870287319090499
"Wave_1178",0.00884454597272306
"Wave_1179",0.00898620988538161
"Wave_1180",0.00912789457447229
"Wave_1181",0.00925190350589765
"Wave_1182",0.00848312093273949
"Wave_1183",0.00771434653083121
"Wave_1184",0.00694555535854649
"Wave_1185",0.00103089150941116
"Wave_1186",-0.0055662344350014
"Wave_1187",-0.0121633847515594
"Wave_1188",-0.0199846490617319
"Wave_1189",-0.0222376020845388
"Wave_1190",-0.0244905253967922
"Wave_1191",-0.0267434779924561
"Wave_1192",-0.0313165789126659
"Wave_1193",-0.0327814434025998
"Wave_1194",-0.034246300573359
"Wave_1195",-0.0357111549798853
"Wave_1196",-0.0348659737390564
"Wave_1197",-0.0323807890601356
"Wave_1198",-0.0298955791446633
"Wave_1199",-0.0274103980442281
"Wave_1200",-0.0298095020028719
"Wave_1201",-0.0329461182279673
"Wave_1202",-0.0360827364011668
"Wave_1203",-0.0397325031161496
"Wave_1204",-0.0424885010521672
"Wave_1205",-0.0446320497204882
"Wave_1206",-0.0467755882213355
"Wave_1207",-0.0458954040847443
"Wave_1208",-0.0356983273520365
"Wave_1209",-0.0255012812136462
"Wave_1210",-0.0153042013472457
"Wave_1211",-0.007522739090807
"Wave_1212",-0.00316416395484324
"Wave_1213",0.00119442251807888
"Wave_1214",0.00555302185320221
"Wave_1215",0.00403293878052413
"Wave_1216",0.000777091105172052
"Wave_1217",-0.00247875755625759
"Wave_1218",-0.00573459330055199
"Wave_1219",-0.00206210529786367
"Wave_1220",0.0016614190746063
"Wave_1221",0.00538495216293626
"Wave_1222",0.007767568799854
"Wave_1223",0.00815493622036927
"Wave_1224",0.00854230105336454
"Wave_1225",0.00892967100855098
"Wave_1226",0.0129602458404873
"Wave_1227",0.0193630025298219
"Wave_1228",0.0257657640546706
"Wave_1229",0.032168536480382
"Wave_1230",0.0330014773607096
"Wave_1231",0.0303126393200891
"Wave_1232",0.0276238162049469
"Wave_1233",0.0249349969604563
"Wave_1234",0.0234410482349663
"Wave_1235",0.0223813892891293
"Wave_1236",0.0213217199948524
"Wave_1237",0.0207555230762711
"Wave_1238",0.023905640395838
"Wave_1239",0.0270557377688503
"Wave_1240",0.0302058355628809
"Wave_1241",0.0340251760948951
"Wave_1242",0.0385460863895802
"Wave_1243",0.0430670165638388
"Wave_1244",0.0475879370493369
"Wave_1245",0.0471185438852027
"Wave_1246",0.0416947569368549
"Wave_1247",0.0362709915066252
"Wave_1248",0.0308472171012331
"Wave_1249",0.0338789730036181
"Wave_1250",0.0386835710531497
"Wave_1251",0.0434881702142988
"Wave_1252",0.0484158741405282
"Wave_1253",0.0512354335832955
"Wave_1254",0.0540550091677101
"Wave_1255",0.0568745780516453
"Wave_1256",0.0594731208418301
"Wave_1257",0.0615560151417165
"Wave_1258",0.0636389231244039
"Wave_1259",0.0657218062384268
"Wave_1260",0.0676151094755821
"Wave_1261",0.0680658321581947
"Wave_1262",0.0685165436137859
"Wave_1263",0.0689672856884793
"Wave_1264",0.0719293487338488
"Wave_1265",0.0755192333672161
"Wave_1266",0.0791091625272606
"Wave_1267",0.0828625812575762
"Wave_1268",0.0825482064220313
"Wave_1269",0.0822338057089071
"Wave_1270",0.0819194245923589
"Wave_1271",0.0833293823436264
"Wave_1272",0.0900531556476403
"Wave_1273",0.0967769338975596
"Wave_1274",0.103500715805296
"Wave_1275",0.10945768217091
"Wave_1276",0.111715954109331
"Wave_1277",0.113974230874293
"Wave_1278",0.11623250453327
"Wave_1279",0.118249829606958
"Wave_1280",0.120241092754191
"Wave_1281",0.12223236415295
"Wave_1282",0.124223621393551
"Wave_1283",0.13200221350382
"Wave_1284",0.13978082038355
"Wave_1285",0.147559418276823
"Wave_1286",0.154986427431662
"Wave_1287",0.157412768991369
"Wave_1288",0.159839145269498
"Wave_1289",0.162265489102728
