"","all_carb_m2.12.comps"
"Wave_927",2.86712930750853
"Wave_928",-2.33427721350612
"Wave_929",-18.7538758758586
"Wave_930",-17.1659677701448
"Wave_931",-27.4755392755325
"Wave_932",-29.5468367468158
"Wave_933",-10.602118262248
"Wave_934",-11.9230939325228
"Wave_935",-32.1432830283298
"Wave_936",-33.9289268981506
"Wave_937",-26.3170915625505
"Wave_938",-22.2369478414859
"Wave_939",-16.5566052719791
"Wave_940",-10.1213580734503
"Wave_941",-20.3432346961391
"Wave_942",-34.7499097210467
"Wave_943",-30.6691154436614
"Wave_944",-30.9760502047063
"Wave_945",-27.6891984629226
"Wave_946",-28.4508533474244
"Wave_947",-29.6655061931093
"Wave_948",-6.98841325011299
"Wave_949",-26.4146756501738
"Wave_950",-17.4733164927407
"Wave_951",-29.7271899007326
"Wave_952",-40.3829605097452
"Wave_953",-37.6252788372316
"Wave_954",-30.8339852632252
"Wave_955",-34.1166893598658
"Wave_956",-20.9071742966602
"Wave_957",-37.7185899320962
"Wave_958",-27.7334881575512
"Wave_959",-25.5627604732067
"Wave_960",-25.7059276010176
"Wave_961",-20.0852108980073
"Wave_962",-22.9222300228508
"Wave_963",-26.41777468841
"Wave_964",-39.2612529757659
"Wave_965",-38.2990615998569
"Wave_966",-39.0032916145407
"Wave_967",-34.8100717507382
"Wave_968",-37.0688680550509
"Wave_969",-50.7681041634715
"Wave_970",-46.0061545564563
"Wave_971",-32.6329992968692
"Wave_972",-29.5783567567579
"Wave_973",-31.2097596234048
"Wave_974",-32.8411650677953
"Wave_975",-32.4472539059898
"Wave_976",-32.0873830734949
"Wave_977",-32.5380627611939
"Wave_978",-32.9887437527932
"Wave_979",-30.0260742793853
"Wave_980",-27.0504505769732
"Wave_981",-24.3190349500987
"Wave_982",-22.0790747207621
"Wave_983",-24.2622380984926
"Wave_984",-24.1246133408593
"Wave_985",-23.4067905134704
"Wave_986",-22.7144493030317
"Wave_987",-22.1240188527398
"Wave_988",-15.9933919597867
"Wave_989",-9.86276298627828
"Wave_990",-0.919635441243845
"Wave_991",10.0263748198511
"Wave_992",12.1089121632703
"Wave_993",14.1914533683056
"Wave_994",12.6558903243362
"Wave_995",11.5993494846389
"Wave_996",17.2886760170115
"Wave_997",22.9780014593649
"Wave_998",24.6637831925713
"Wave_999",22.3225212842433
"Wave_1000",17.6700219879267
"Wave_1001",13.0175237901407
"Wave_1002",17.7340255400834
"Wave_1003",23.3358954645758
"Wave_1004",28.8710634387976
"Wave_1005",33.7315512374915
"Wave_1006",32.5198762796693
"Wave_1007",31.4565247780183
"Wave_1008",30.4096536958573
"Wave_1009",28.9386664147307
"Wave_1010",25.8209432084458
"Wave_1011",23.1507688083751
"Wave_1012",20.4805938320188
"Wave_1013",18.1289265062411
"Wave_1014",16.1172955034974
"Wave_1015",13.7843057137212
"Wave_1016",11.4513177502696
"Wave_1017",9.80024165627109
"Wave_1018",7.9971383435279
"Wave_1019",5.5873966463453
"Wave_1020",3.17765362723206
"Wave_1021",0.172074461970629
"Wave_1022",-1.83981808773995
"Wave_1023",-3.31640565222307
"Wave_1024",-4.7929959441818
"Wave_1025",-6.58751995119731
"Wave_1026",-7.18429508872005
"Wave_1027",-7.64405975175488
"Wave_1028",-8.04249852876352
"Wave_1029",-7.97556395237486
"Wave_1030",-8.68762061792866
"Wave_1031",-9.39967915058187
"Wave_1032",-9.9860441428965
"Wave_1033",-9.87999545583942
"Wave_1034",-9.3314274394819
"Wave_1035",-8.78286280750683
"Wave_1036",-8.42806667497331
"Wave_1037",-8.24617874451394
"Wave_1038",-7.94654219028043
"Wave_1039",-7.64690249644456
"Wave_1040",-7.21934178811704
"Wave_1041",-7.35350430067374
"Wave_1042",-7.76495249418845
"Wave_1043",-8.17640316689391
"Wave_1044",-8.27328815858986
"Wave_1045",-7.53094528201172
"Wave_1046",-6.70409336042436
"Wave_1047",-5.87724059728891
"Wave_1048",-5.11757037447702
"Wave_1049",-5.54049223006386
"Wave_1050",-5.96341621415267
"Wave_1051",-6.35298315621018
"Wave_1052",-6.47245087110731
"Wave_1053",-6.66213718047691
"Wave_1054",-6.85182261741758
"Wave_1055",-7.15652421198513
"Wave_1056",-7.46723041024806
"Wave_1057",-7.51556243321082
"Wave_1058",-7.56389642478322
"Wave_1059",-7.48703397813772
"Wave_1060",-7.71769407828859
"Wave_1061",-8.13380109962418
"Wave_1062",-8.54990863693321
"Wave_1063",-8.8316963401487
"Wave_1064",-8.97505692613165
"Wave_1065",-9.10943176762714
"Wave_1066",-9.24380712887197
"Wave_1067",-9.44363786149838
"Wave_1068",-9.26520047978144
"Wave_1069",-9.08676271136087
"Wave_1070",-8.90832504390381
"Wave_1071",-8.64214453936652
"Wave_1072",-8.30856369293422
"Wave_1073",-7.97497947931942
"Wave_1074",-7.32555769706381
"Wave_1075",-6.21933118002566
"Wave_1076",-5.91965142005323
"Wave_1077",-5.61996903464254
"Wave_1078",-6.00093246487393
"Wave_1079",-6.97166296371958
"Wave_1080",-7.75759254259143
"Wave_1081",-8.54352199534135
"Wave_1082",-8.63340639206684
"Wave_1083",-9.12826143282698
"Wave_1084",-9.7196727329809
"Wave_1085",-10.3110842099769
"Wave_1086",-10.5263090100061
"Wave_1087",-9.87583922301444
"Wave_1088",-9.22537105316879
"Wave_1089",-8.57490130110477
"Wave_1090",-8.85906295317561
"Wave_1091",-8.56318234778956
"Wave_1092",-8.26730222935418
"Wave_1093",-7.83311234775826
"Wave_1094",-6.8199868264051
"Wave_1095",-5.78972992946216
"Wave_1096",-4.7594730878885
"Wave_1097",-3.71543721054992
"Wave_1098",-2.92127401314586
"Wave_1099",-2.19761631835358
"Wave_1100",-1.47396005510081
"Wave_1101",-0.692960555605155
"Wave_1102",-0.450299675021131
"Wave_1103",-0.207641511522474
"Wave_1104",0.0350184863544042
"Wave_1105",0.18483259068469
"Wave_1106",0.151138173195247
"Wave_1107",0.117445732253745
"Wave_1108",0.0837509731901399
"Wave_1109",0.287567476265027
"Wave_1110",0.402052935401869
"Wave_1111",0.516536994390777
"Wave_1112",0.764417430733044
"Wave_1113",1.88822119507477
"Wave_1114",2.79558436498651
"Wave_1115",3.70294905617783
"Wave_1116",4.30618611213733
"Wave_1117",4.16789410971398
"Wave_1118",4.02161898349657
"Wave_1119",3.87534570263444
"Wave_1120",4.24610937514105
"Wave_1121",4.54189727249083
"Wave_1122",4.83769040925082
"Wave_1123",5.13347938347217
"Wave_1124",6.03636072189789
"Wave_1125",6.23777499380951
"Wave_1126",6.43919298685703
"Wave_1127",6.64061246445419
"Wave_1128",7.25967807069017
"Wave_1129",7.15765543198124
"Wave_1130",7.05563446206536
"Wave_1131",7.09891700343585
"Wave_1132",7.74997527500364
"Wave_1133",8.10104156923682
"Wave_1134",8.45210601930709
"Wave_1135",8.99958818377987
"Wave_1136",8.82906523246683
"Wave_1137",8.52784357637719
"Wave_1138",8.22661938693817
"Wave_1139",7.97247136834754
"Wave_1140",6.931671418312
"Wave_1141",5.89087515503867
"Wave_1142",4.85007333405356
"Wave_1143",2.99148178584538
"Wave_1144",1.60780252301014
"Wave_1145",0.22412454379601
"Wave_1146",-1.15955404628679
"Wave_1147",-2.8681717854869
"Wave_1148",-4.01592818048443
"Wave_1149",-5.16368413055833
"Wave_1150",-6.42114981936033
"Wave_1151",-7.43122703807747
"Wave_1152",-8.13260519766395
"Wave_1153",-8.83398506752264
"Wave_1154",-10.3942736959676
"Wave_1155",-10.9250429651975
"Wave_1156",-11.4558119364537
"Wave_1157",-11.9865813376374
"Wave_1158",-12.2045921974418
"Wave_1159",-11.6836609854153
"Wave_1160",-11.1627244093569
"Wave_1161",-10.6417936776512
"Wave_1162",-10.6225782386568
"Wave_1163",-10.6932068447421
"Wave_1164",-10.7638359555251
"Wave_1165",-10.8344651400576
"Wave_1166",-11.0002664963856
"Wave_1167",-11.2439933590985
"Wave_1168",-11.4877195355463
"Wave_1169",-11.7034657848453
"Wave_1170",-11.7666262993754
"Wave_1171",-11.8252687915413
"Wave_1172",-11.8839128947766
"Wave_1173",-11.82399258548
"Wave_1174",-11.965781156098
"Wave_1175",-12.1075706679434
"Wave_1176",-12.2493593612345
"Wave_1177",-12.4977481500119
"Wave_1178",-12.6260347387162
"Wave_1179",-12.7543220210234
"Wave_1180",-12.8826080329836
"Wave_1181",-13.353453689498
"Wave_1182",-14.069872372991
"Wave_1183",-14.7862938182531
"Wave_1184",-15.5027117667998
"Wave_1185",-15.6709961693472
"Wave_1186",-15.6866522733522
"Wave_1187",-15.7023073893307
"Wave_1188",-15.7246748206126
"Wave_1189",-15.8295090620213
"Wave_1190",-15.9343406277437
"Wave_1191",-16.0391747579413
"Wave_1192",-16.5599418807165
"Wave_1193",-16.960646421459
"Wave_1194",-17.3613487821106
"Wave_1195",-17.7620541138953
"Wave_1196",-17.657879204099
"Wave_1197",-17.4850879645104
"Wave_1198",-17.3122973328466
"Wave_1199",-17.1395053014003
"Wave_1200",-17.258340884846
"Wave_1201",-17.5168771599542
"Wave_1202",-17.7754144836594
"Wave_1203",-18.0678801304345
"Wave_1204",-17.9017873494576
"Wave_1205",-17.6508169912882
"Wave_1206",-17.3998445762271
"Wave_1207",-16.9290514842346
"Wave_1208",-15.9816186245319
"Wave_1209",-15.0341900795513
"Wave_1210",-14.086755881898
"Wave_1211",-13.3424046802154
"Wave_1212",-12.7492561205125
"Wave_1213",-12.156103437779
"Wave_1214",-11.5629542133631
"Wave_1215",-10.7425421721791
"Wave_1216",-9.79020704454783
"Wave_1217",-8.83786835317717
"Wave_1218",-7.88553182159443
"Wave_1219",-6.9623576464951
"Wave_1220",-6.04714145164116
"Wave_1221",-5.1319225149778
"Wave_1222",-4.31860268130426
"Wave_1223",-3.6246599577442
"Wave_1224",-2.93071524642515
"Wave_1225",-2.2367696986823
"Wave_1226",-1.32411183007207
"Wave_1227",-0.370546971403325
"Wave_1228",0.583018645906598
"Wave_1229",1.53658574794861
"Wave_1230",2.00461510068425
"Wave_1231",2.19986766690984
"Wave_1232",2.39511982001696
"Wave_1233",2.59037292247158
"Wave_1234",3.18730124940228
"Wave_1235",3.84679652428504
"Wave_1236",4.50629140325424
"Wave_1237",5.13797078305256
"Wave_1238",5.7989136916857
"Wave_1239",6.45985662095243
"Wave_1240",7.12080174210668
"Wave_1241",7.5465036390076
"Wave_1242",7.48037646897931
"Wave_1243",7.41424959789626
"Wave_1244",7.34812065055514
"Wave_1245",7.00306184868216
"Wave_1246",6.4099086856434
"Wave_1247",5.81675794597711
"Wave_1248",5.22360534125303
"Wave_1249",5.48550777314334
"Wave_1250",5.8936749189825
"Wave_1251",6.30184045803745
"Wave_1252",6.69834762139378
"Wave_1253",6.57488525910208
"Wave_1254",6.45142359538987
"Wave_1255",6.32796399579709
"Wave_1256",6.22236701168162
"Wave_1257",6.15846479029404
"Wave_1258",6.09455864260786
"Wave_1259",6.03065528657942
"Wave_1260",5.89364143838808
"Wave_1261",5.62897732034994
"Wave_1262",5.36431682866155
"Wave_1263",5.09965372125416
"Wave_1264",4.64021566901973
"Wave_1265",4.13208252361394
"Wave_1266",3.62394994692043
"Wave_1267",3.08925028708896
"Wave_1268",2.63649404495436
"Wave_1269",2.18373766103422
"Wave_1270",1.73098053408543
"Wave_1271",1.49346991897405
"Wave_1272",1.97186063483324
"Wave_1273",2.45025214753052
"Wave_1274",2.92864645324328
"Wave_1275",3.5303525317328
"Wave_1276",4.01794891443645
"Wave_1277",4.5055465209885
"Wave_1278",4.99314792026158
"Wave_1279",6.04475483781463
"Wave_1280",7.30235719417842
"Wave_1281",8.5599626590984
"Wave_1282",9.81756304093262
"Wave_1283",9.66481879326475
"Wave_1284",9.51207543281825
"Wave_1285",9.35932825864676
"Wave_1286",9.32632746263987
"Wave_1287",9.37423555452612
"Wave_1288",9.4221439252705
"Wave_1289",9.47005202433388
"Wave_1290",9.54886365151781
"Wave_1291",9.65857975647683
"Wave_1292",9.76829590120382
"Wave_1293",9.87801378728348
"Wave_1294",10.1511133920722
"Wave_1295",10.4650587042828
"Wave_1296",10.7790042258864
"Wave_1297",11.092949726053
"Wave_1298",10.9456184584992
"Wave_1299",10.798288739769
"Wave_1300",10.6509593689272
"Wave_1301",10.6602487504049
"Wave_1302",11.0349846995916
"Wave_1303",11.4097222368635
"Wave_1304",11.7844608260317
"Wave_1305",12.1360794938387
"Wave_1306",12.4845553345948
"Wave_1307",12.8330274910202
"Wave_1308",13.1815002731573
"Wave_1309",13.897126178191
"Wave_1310",14.7045428512257
"Wave_1311",15.5119585851113
"Wave_1312",16.2458009062712
"Wave_1313",16.8037129017908
