"","H20_g_m2.11.comps"
"Wave_889",6.41235568778916
"Wave_890",10.5937850297069
"Wave_891",11.2019277462043
"Wave_892",10.1882234396462
"Wave_893",3.66196516009274
"Wave_894",-6.95390453999451
"Wave_895",8.77963623594082
"Wave_896",0.94493118130598
"Wave_897",0.39984458769311
"Wave_898",-2.72158645473327
"Wave_899",-2.3808153860704
"Wave_900",4.59270645328455
"Wave_901",5.54225760251741
"Wave_902",5.00333835186332
"Wave_903",5.83441096142891
"Wave_904",8.65728601342763
"Wave_905",7.93786431445194
"Wave_906",5.06397209681305
"Wave_907",5.65988874701325
"Wave_908",5.02104393775443
"Wave_909",-3.4966245527252
"Wave_910",-2.57321569466754
"Wave_911",-0.505731885868722
"Wave_912",4.23072662305401
"Wave_913",10.6876462274573
"Wave_914",3.73600454036882
"Wave_915",13.9413323170165
"Wave_916",9.05312375201571
"Wave_917",8.77556417382303
"Wave_918",9.40817776302926
"Wave_919",11.0414806605253
"Wave_920",14.4611052575227
"Wave_921",-0.969578434230064
"Wave_922",1.91443298997485
"Wave_923",7.22297226014577
"Wave_924",9.24466117662758
"Wave_925",8.85714224400007
"Wave_926",8.32749697294567
"Wave_927",6.08972848522942
"Wave_928",9.55327890873112
"Wave_929",-10.8366813215551
"Wave_930",-11.0846844550392
"Wave_931",-10.0673374566136
"Wave_932",-4.83177080777369
"Wave_933",7.88744727326642
"Wave_934",18.8403613095527
"Wave_935",5.47076750700657
"Wave_936",17.6714035211104
"Wave_937",11.1777932567075
"Wave_938",-3.84367425018056
"Wave_939",-1.2703756969135
"Wave_940",17.7723466593323
"Wave_941",16.7786898116688
"Wave_942",14.6031457273503
"Wave_943",5.3547372878732
"Wave_944",0.979558260611961
"Wave_945",-1.33804363411328
"Wave_946",0.985291608407376
"Wave_947",5.95466040349474
"Wave_948",4.28878623740254
"Wave_949",1.64787088908036
"Wave_950",-2.09258151683272
"Wave_951",8.52333352616579
"Wave_952",-4.06367268140973
"Wave_953",-16.0233839463183
"Wave_954",-9.14645083932981
"Wave_955",-15.3509945266439
"Wave_956",-4.57878958720521
"Wave_957",17.258457086199
"Wave_958",8.05057627427061
"Wave_959",0.554464864494594
"Wave_960",0.361906676759805
"Wave_961",-5.42659806327704
"Wave_962",-19.7465125136512
"Wave_963",-11.0856505318366
"Wave_964",4.60180514817006
"Wave_965",9.25223532498776
"Wave_966",-5.77942846330063
"Wave_967",-23.1543152008962
"Wave_968",-26.1602953473543
"Wave_969",-3.60966012092361
"Wave_970",-5.06693733199259
"Wave_971",-3.76302739011041
"Wave_972",-6.81095914252097
"Wave_973",-8.7185808026518
"Wave_974",-10.6262026893769
"Wave_975",-11.0762286966494
"Wave_976",-11.3588421453574
"Wave_977",-11.9369339763604
"Wave_978",-12.5150293537834
"Wave_979",-15.9928331163714
"Wave_980",-19.6232254803902
"Wave_981",-23.1405551612336
"Wave_982",-26.2359657475644
"Wave_983",-25.5340991395411
"Wave_984",-24.4848077998979
"Wave_985",-23.3486638679864
"Wave_986",-22.9371321794937
"Wave_987",-25.4240625220456
"Wave_988",-23.718606587089
"Wave_989",-22.0131514990991
"Wave_990",-20.1991158426683
"Wave_991",-19.6499416662089
"Wave_992",-24.8116961781766
"Wave_993",-29.9734500028596
"Wave_994",-34.0018440732319
"Wave_995",-35.8464415689877
"Wave_996",-34.3585146921835
"Wave_997",-32.8705874485132
"Wave_998",-30.5003382543185
"Wave_999",-27.5452131995545
"Wave_1000",-24.3833515475821
"Wave_1001",-21.2214906412185
"Wave_1002",-19.0374612628509
"Wave_1003",-19.5816642172317
"Wave_1004",-21.2485452668439
"Wave_1005",-22.7808688854619
"Wave_1006",-23.1021697846571
"Wave_1007",-20.6381421234687
"Wave_1008",-17.8646329939551
"Wave_1009",-14.9903970230062
"Wave_1010",-11.7068110345906
"Wave_1011",-8.36523904763962
"Wave_1012",-5.0236670063229
"Wave_1013",-2.79657633688641
"Wave_1014",-2.51752141382679
"Wave_1015",-2.88320759506297
"Wave_1016",-3.24889663264924
"Wave_1017",-3.0942384732896
"Wave_1018",-3.31711309917374
"Wave_1019",-4.26441447587358
"Wave_1020",-5.2117205948509
"Wave_1021",-6.4637663408807
"Wave_1022",-6.60339997516175
"Wave_1023",-6.21031350280551
"Wave_1024",-5.81722930930297
"Wave_1025",-5.64042727745535
