"","nitrate_umol_m2.10.comps"
"Wave_995",1.50273584924686
"Wave_996",1.50848431685954
"Wave_997",1.5142328833546
"Wave_998",1.39566291629801
"Wave_999",1.23025374233965
"Wave_1000",1.07128481126321
"Wave_1001",0.912315864009793
"Wave_1002",0.8124033383777
"Wave_1003",0.541726281615021
"Wave_1004",0.195052499865158
"Wave_1005",-0.153900247896685
"Wave_1006",-0.523362517974542
"Wave_1007",-0.668872851468137
"Wave_1008",-0.789499714551463
"Wave_1009",-0.923325242165555
"Wave_1010",-1.11357313687499
"Wave_1011",-1.3364713313506
"Wave_1012",-1.55936955050051
"Wave_1013",-1.6311957650672
"Wave_1014",-1.49212771527158
"Wave_1015",-1.3897245958303
"Wave_1016",-1.28732131479483
"Wave_1017",-1.21785606035356
"Wave_1018",-1.1141224267742
"Wave_1019",-0.954161608434783
"Wave_1020",-0.794200805150583
"Wave_1021",-0.623190876666391
"Wave_1022",-0.501150325709991
"Wave_1023",-0.402126056737177
"Wave_1024",-0.303101790407527
"Wave_1025",-0.221873262922832
"Wave_1026",-0.169315532864547
"Wave_1027",-0.119723702831305
"Wave_1028",-0.0675371765891568
"Wave_1029",0.00476963233097222
"Wave_1030",0.0479824486195327
"Wave_1031",0.091195033309913
"Wave_1032",0.131592333130022
"Wave_1033",0.161929184442743
"Wave_1034",0.195071234285957
"Wave_1035",0.228213136669459
"Wave_1036",0.263703033200158
"Wave_1037",0.267921545984119
"Wave_1038",0.23734687037346
"Wave_1039",0.206771966223003
"Wave_1040",0.156411387316596
"Wave_1041",0.140473181845839
"Wave_1042",0.144940789916989
"Wave_1043",0.149408225392013
"Wave_1044",0.181655240471801
"Wave_1045",0.20509144880092
"Wave_1046",0.226777200879772
"Wave_1047",0.248462966562987
"Wave_1048",0.235573506869688
"Wave_1049",0.235770193420824
"Wave_1050",0.235967004577665
"Wave_1051",0.237358477050444
"Wave_1052",0.247910058131482
"Wave_1053",0.254745448583096
"Wave_1054",0.261580804842947
"Wave_1055",0.273617078386737
"Wave_1056",0.323905647908261
"Wave_1057",0.400310816650648
"Wave_1058",0.476715927839258
"Wave_1059",0.534183938004036
"Wave_1060",0.552520519898905
"Wave_1061",0.562202689663008
"Wave_1062",0.571884647685784
"Wave_1063",0.60069044340164
"Wave_1064",0.598529062082676
"Wave_1065",0.592016179898296
"Wave_1066",0.585503271439937
"Wave_1067",0.567299815516596
"Wave_1068",0.548499319811596
"Wave_1069",0.529698548937934
"Wave_1070",0.510898041021648
"Wave_1071",0.483906001583471
"Wave_1072",0.47598128975481
"Wave_1073",0.468056610203682
"Wave_1074",0.45554203695439
"Wave_1075",0.44474598971031
"Wave_1076",0.454027907936836
"Wave_1077",0.463309692181673
"Wave_1078",0.504214879190517
"Wave_1079",0.572350552369499
"Wave_1080",0.631827473695937
"Wave_1081",0.691304440034887
"Wave_1082",0.725300818975195
"Wave_1083",0.767355342034017
"Wave_1084",0.812192575985396
"Wave_1085",0.857029816350915
"Wave_1086",0.894774310262339
"Wave_1087",0.904906765196588
"Wave_1088",0.915039307585601
"Wave_1089",0.92517167282464
"Wave_1090",0.899906579139636
"Wave_1091",0.836965687030177
"Wave_1092",0.774024867911024
"Wave_1093",0.712336380361982
"Wave_1094",0.669362820489279
"Wave_1095",0.635525779087602
"Wave_1096",0.601688824754029
"Wave_1097",0.554251291506868
"Wave_1098",0.493317985496459
"Wave_1099",0.436944094942718
"Wave_1100",0.380570421122686
"Wave_1101",0.339446193114788
"Wave_1102",0.325727020909334
"Wave_1103",0.312007781253815
"Wave_1104",0.298288539861387
"Wave_1105",0.281023593225545
"Wave_1106",0.253002893770367
"Wave_1107",0.224982115705915
"Wave_1108",0.196961258456736
"Wave_1109",0.19689379381299
"Wave_1110",0.226045644425847
"Wave_1111",0.255197609443246
"Wave_1112",0.281936463635035
"Wave_1113",0.293744954030737
"Wave_1114",0.31007718777703
"Wave_1115",0.326409218824966
"Wave_1116",0.342859522187562
"Wave_1117",0.325542725338113
"Wave_1118",0.299715325341157
"Wave_1119",0.273887988715714
"Wave_1120",0.252940681998194
